M_AMI,M_SLR,AVG_pi,pi_initial
-0.09087153949403673,-0.00045071833592047803,-0.0010363365611459584,0.08983520293289077
-0.05382181556604272,-3.5300037683698085e-05,-0.0003536558516184693,0.05346815971442425
0.06349852972606204,-8.831920336727535e-05,0.013562937837446696,-0.04993559188861535
0.10627985088593413,0.00011338503542213598,0.006742424471416568,-0.09953742641451756
-0.05818547206127746,-0.0003134427989268966,9.8471591914273e-05,0.05828394365319173
0.10396359880915582,-3.793741325817298e-05,-0.007267253883672853,-0.11123085269282867
0.09614626744924025,-0.0001284008650795682,0.005769621690175181,-0.09037664575906507
0.11622378762324759,-1.041543810046115e-05,0.02101582322178609,-0.0952079644014615
-0.10309542844992103,0.00013703399531291545,-0.003607862681927872,0.09948756576799316
0.04697787819374454,3.99888711534503e-05,0.001945681179429753,-0.04503219701431479
0.29899624418706994,0.0003156342288449872,-0.006658672305260209,-0.3056549164923301
-0.13283613097165642,9.655651825350935e-08,-0.0018712629132069767,0.13096486805844945
0.1772365578451155,8.789692060798665e-05,0.0015088666745877981,-0.1757276911705277
0.05446155932013449,-0.00016775059631025528,-0.0011817620582697803,-0.05564332137840427
-0.09346376466528034,-0.00037743252728401417,0.0008478155993935702,0.0943115802646739
0.08559185039174237,-0.0007724340210991304,0.014437226484354793,-0.07115462390738758
0.17331967608373447,-4.478809902011747e-05,0.007165400324213411,-0.16615427575952105
0.033120496854821,-0.001006102694362095,0.004230453108954252,-0.028890043745866748
0.13476298149159618,3.306364848580289e-06,-6.385938193455679e-05,-0.13482684087353075
0.042650973953381036,-7.812967840228165e-05,-0.004405486890699518,-0.04705646084408055
0.010024030650882438,-9.725519662722561e-06,0.003384817845023573,-0.006639212805858864
-0.05077603116546068,-3.337567493613607e-06,0.0011119034745616023,0.05188793464002228
0.2413364614630898,3.390461258664278e-05,-0.010738222981847734,-0.2520746844449375
-0.08014761903669199,0.00015483742323800083,-0.02402136435252967,0.05612625468416232
-0.13974508527908022,-0.0004662470693474406,0.007673889796844873,0.1474189750759251
-0.05910600030540538,1.4066223248775922e-05,-0.004783704888508662,0.05432229541689672
0.20032189364141922,0.0014880952375618316,0.030553401193771392,-0.16976849244764783
0.03377329447348635,6.567518250414966e-05,-0.004743519417675589,-0.03851681389116194
0.02649476689429509,-0.005952827088651581,0.004249155085888154,-0.022245611808406934
0.07165775785391912,0.0006787112799183082,-0.00836334314673839,-0.08002110100065751
-0.03808040784383684,9.42128846447614e-06,0.004480976155726763,0.0425613839995636
-0.028242957507183968,-3.3195734349447305e-06,-0.00735817619691351,0.020884781310270457
